Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1245     0.00     0.00  std::vector<char, std::allocator<char> >::size() const
  0.00      0.00     0.00     1244     0.00     0.00  std::initializer_list<char>::begin() const
  0.00      0.00     0.00     1244     0.00     0.00  std::_Miter_base<char const*>::iterator_type std::__miter_base<char const*>(char const*)
  0.00      0.00     0.00     1244     0.00     0.00  std::_Niter_base<char const*>::iterator_type std::__niter_base<char const*>(char const*)
  0.00      0.00     0.00     1244     0.00     0.00  std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*)
  0.00      0.00     0.00     1159     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_M_end()
  0.00      0.00     0.00     1120     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00     1113     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00     1074     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      0.00     0.00      963     0.00     0.00  char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.00      0.00     0.00      943     0.00     0.00  char* std::__copy_move_a<false, char const*, char*>(char const*, char const*, char*)
  0.00      0.00     0.00      924     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      924     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00      854     0.00     0.00  char const& std::forward<char const&>(std::remove_reference<char const&>::type&)
  0.00      0.00     0.00      848     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      0.00     0.00      848     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      0.00     0.00      848     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.00      0.00     0.00      848     0.00     0.00  std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long)
  0.00      0.00     0.00      848     0.00     0.00  std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long)
  0.00      0.00     0.00      777     0.00     0.00  std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
  0.00      0.00     0.00      759     0.00     0.00  std::_Rb_tree<std::vector<char, std::allocator<char> >, std::pair<std::vector<char, std::allocator<char> > const, unsigned short>, std::_Select1st<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >, std::less<std::vector<char, std::allocator<char> > >, std::allocator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> > >::size() const
  0.00      0.00     0.00      732     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_M_swap_data(std::_Vector_base<char, std::allocator<char> >::_Vector_impl&)
  0.00      0.00     0.00      732     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char>&&)
  0.00      0.00     0.00      732     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl(std::allocator<char> const&)
  0.00      0.00     0.00      732     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_Vector_base(std::_Vector_base<char, std::allocator<char> >&&)
  0.00      0.00     0.00      732     0.00     0.00  std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> >&&)
  0.00      0.00     0.00      698     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::vector<char, std::allocator<char> > const, unsigned short> >::operator*() const
  0.00      0.00     0.00      642     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, false>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
